Date,Close/Last,Volume,Open,High,Low,Day
2024-11-26,162.16,4653842,163.27,163.68,161.9,1736
2024-11-25,163.05,8580393,162.7,163.59,162,1735
2024-11-22,162,5846256,160.9,162.06,159.89,1732
2024-11-21,160.34,5976987,158.39,160.5,157.95,1731
2024-11-20,158.74,5067255,156.45,159.11,156.2,1730
2024-11-19,156.72,8248864,157.75,157.87,155.85,1729
2024-11-18,158.33,6992040,159.405,159.85,157.76,1728
2024-11-15,158.62,9108948,164.38,164.38,158.05,1725
2024-11-14,165.15,5422685,164.74,166.885,163.83,1724
2024-11-13,164.74,4145443,163.49,164.8,162.37,1723
2024-11-12,164.34,5386925,164.09,165,163.15,1722
2024-11-11,164.26,3761969,164.41,166.15,163.98,1721
2024-11-08,165.11,4618265,163.84,165.82,163.65,1718
2024-11-07,164,5333532,164.5,164.9,163.47,1717
2024-11-06,164.71,7849309,167.37,167.41,163.6,1716
2024-11-05,167.85,3678708,165.95,167.96,165.67,1715
2024-11-04,166.34,4885472,165.59,166.65,165.19,1714
2024-11-01,165.59,6339121,166.09,166.25,165.21,1711
2024-10-31,166.08,5582423,166.1,167.5048,165.81,1710
2024-10-30,166.21,4801541,167,167.6399,166.08,1709
2024-10-29,167.5,5127890,169.2,169.2,166.97,1708
2024-10-28,169.84,5186635,172.98,172.98,169.73,1707
2024-10-25,171.79,4442863,172.47,174,171.6,1704
2024-10-24,172.16,4244903,172.92,173.535,171.7,1703
2024-10-23,172.95,3800654,173.7,173.84,172.47,1702
2024-10-22,174.37,3790452,174.51,174.95,173.51,1701
2024-10-21,175.01,6436516,174.46,177.5,174.35,1700
2024-10-18,175.06,5097170,172.3,175.33,172.12,1697
2024-10-17,174.67,4125910,174.38,175.47,173.7,1696
2024-10-16,174.48,4400852,175.01,175.33,173.63,1695
2024-10-15,175.9,5802290,176.355,177.39,175.12,1694
2024-10-14,176.1,4536048,174.955,176.27,174.44,1693
2024-10-11,174.81,4720299,174,175.175,172.87,1690
2024-10-10,172.99,5292404,172.07,173.06,171.22,1689
2024-10-09,172.54,7177529,169.38,173.28,169.1,1688
2024-10-08,170.42,8297792,167.72,170.65,166.85,1687
2024-10-07,167.21,5459506,167.72,167.93,166.46,1686
2024-10-04,167.97,4391321,167.15,168.5,166.82,1683
2024-10-03,168.53,5090330,168.14,169.105,167.17,1682
2024-10-02,169.55,5785972,171.5,171.74,168.52,1681
2024-10-01,171.38,7095860,171.29,171.94,169.77,1680
2024-09-30,170.05,5054615,170.58,171.74,169.58,1679
2024-09-27,170,7545935,169.96,171.645,169.68,1676
2024-09-26,169.69,5673635,169.22,171,168.68,1675
2024-09-25,169.4,4505130,170.4,170.765,168.76,1674
2024-09-24,169.92,7837853,170.99,171.6,169.5,1673
2024-09-23,172.11,5350483,170.87,173.94,170.73,1672
2024-09-20,171.18,12198430,172.57,173.77,170.22,1669
2024-09-19,174.66,5504038,175.75,176.22,174.15,1668
2024-09-18,175.21,5307852,176.86,178.06,174.43,1667
2024-09-17,176.87,6305100,177,178.09,176.3,1666
2024-09-16,177.21,4940100,179,179.425,176.35,1665
2024-09-13,177.36,3290404,177.445,177.96,176.37,1662
2024-09-12,177.25,4224894,175.78,177.69,173.95,1661
2024-09-11,175.78,4035975,177.44,177.75,174.43,1660
2024-09-10,177.81,4315764,178.65,179.1,177.64,1659
2024-09-09,178.19,4666169,177.05,178.79,175.86,1658
2024-09-06,177.34,6395276,177.44,178.58,177,1655
2024-09-05,179.3,5743141,178.73,179.73,177.52,1654
2024-09-04,178.52,6188454,177.9,179.65,176.29,1653
2024-09-03,177.54,7032051,172.38,177.89,171.88,1652
2024-08-30,172.88,8677312,172.06,173.56,171.25,1648
2024-08-29,172.09,4654540,173.76,173.96,171.91,1647
2024-08-28,173.92,3915499,175.55,175.7432,173.35,1646
2024-08-27,175.3,3520562,176.31,176.88,174.52,1645
2024-08-26,175.97,4146861,176.32,176.84,175.73,1644
